******,******,******,학년,교과/구분,개설대학,교과목/번호,교과목명,학점,강의,실습,담당/교수,강의시간,강의시간/(실제시간),강의실,수강/정원,수강/신청,수강꾸러미/신청,수강꾸러미/신청가능여부,비고,강의방식,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,기본소양,공과대학,CLTR205012,대학글쓰기,3,3,0,이원동,수1A/1B/2A/금2B/3A/3B,수09:00 ~ 10:30/금10:30 ~ 12:00,공대3호관-216,30,30,33,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,기본소양,공과대학,CLTR205013,대학글쓰기,3,3,0,이은영,수1A/1B/2A/금2B/3A/3B,수09:00 ~ 10:30/금10:30 ~ 12:00,공대3호관-314,30,30,32,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,기본소양,공과대학,CLTR205014,대학글쓰기,3,3,0,김재웅,수1A/1B/2A/금2B/3A/3B,수09:00 ~ 10:30/금10:30 ~ 12:00,공대3호관-504,31,31,31,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,기본소양,공과대학,CLTR205015,대학글쓰기,3,3,0,김동현,수8B/9A/9B/금8B/9A/9B,수16:30 ~ 18:00/금16:30 ~ 18:00,공대12호관-213,30,30,20,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,기본소양,공과대학,CLTR205016,대학글쓰기,3,3,0,이정화,수8B/9A/9B/금8B/9A/9B,수16:30 ~ 18:00/금16:30 ~ 18:00,공대12호관-215,30,30,19,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,기본소양,공과대학,CLTR205017,대학글쓰기,3,3,0,김상모,월1A/1B/2A/수2B/3A/3B,월09:00 ~ 10:30/수10:30 ~ 12:00,공대12호관-103,30,30,38,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,기본소양,공과대학,CLTR205018,대학글쓰기,3,3,0,이순희,월1A/1B/2A/수2B/3A/3B,월09:00 ~ 10:30/수10:30 ~ 12:00,공대1호관-413,30,29,25,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,기본소양,공과대학,CLTR205019,대학글쓰기,3,3,0,김경미,화5B/6A/6B/목5B/6A/6B,화13:30 ~ 15:00/목13:30 ~ 15:00,공대6호관-102,30,30,40,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,기본소양,공과대학,CLTR205020,대학글쓰기,3,3,0,류동일,화5B/6A/6B/목5B/6A/6B,화13:30 ~ 15:00/목13:30 ~ 15:00,공대3호관-504,30,30,20,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,기본소양,공과대학,CLTR205021,대학글쓰기,3,3,0,김정신,화5B/6A/6B/목5B/6A/6B,화13:30 ~ 15:00/목13:30 ~ 15:00,공대8호관-101,30,30,32,Y,인문교양,대면,
